"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"0";"T001395";"2000JJ00";"   26620";"      33";"      19";"      20";"      10";"       6";"       4";"       8";"     191";"       .";"      22";"      69";"      12";"       1";"       0";"       3";"       6";"       0";"       2";"       3";"       .";"       .";"      17";"       .";"   13780";"    3500";"      64";"       5";"      26";"       4";"      86";"    2099";"      26";"      21";"      37";"      16";"     824";"      48";"      11";"       9";"      26";"       6";"     796";"      12";"       7";"      22";"       7";"      14";"       6";"       8";"       7";"      17"
"1";"T001395";"2003JJ00";"   26880";"      34";"      19";"      20";"       9";"       6";"       3";"       9";"     191";"       .";"      24";"      68";"      11";"       1";"       0";"       3";"       6";"       0";"       2";"       2";"       .";"       .";"      16";"       .";"   13130";"    3580";"      63";"       6";"      28";"       4";"      85";"    2005";"      26";"      22";"      36";"      16";"     953";"      48";"      12";"      10";"      26";"       4";"     919";"      11";"       7";"      22";"       8";"      15";"       6";"       8";"       8";"      16"
"2";"T001395";"2006JJ00";"   27550";"      35";"      19";"      19";"       9";"       5";"       3";"       9";"     190";"       .";"      24";"      68";"      11";"       1";"       0";"       3";"       6";"       0";"       2";"       2";"       .";"       .";"      15";"       .";"   12970";"    3710";"      62";"       8";"      26";"       4";"      83";"    2078";"      26";"      23";"      35";"      16";"    1106";"      49";"      11";"      11";"      25";"       5";"    1066";"      12";"       8";"      22";"       7";"      13";"       6";"       8";"      10";"      14"
"3";"T001395";"2009JJ00";"   28700";"      35";"      20";"      18";"      10";"       5";"       3";"       9";"     196";"       .";"      25";"      70";"       7";"       0";"       0";"       1";"       5";"       0";"       1";"       3";"       .";"       .";"      14";"       .";"   12870";"    3920";"      60";"       7";"      23";"       9";"      81";"    2180";"      27";"      24";"      33";"      15";"    1233";"      50";"      10";"      12";"      24";"       5";"    1194";"      12";"       9";"      21";"       8";"      13";"       6";"       8";"      10";"      13"
"4";"T001395";"2012JJ00";"   28780";"      36";"      20";"      18";"       9";"       5";"       3";"       9";"     193";"       .";"      25";"      68";"       9";"       1";"       0";"       2";"       5";"       0";"       2";"       3";"       .";"       .";"      12";"       .";"   11950";"    3610";"      61";"       8";"      21";"      10";"      82";"    2229";"      28";"      24";"      33";"      15";"    1264";"      52";"       9";"      12";"      22";"       5";"    1229";"      12";"       9";"      22";"       8";"      12";"       6";"       8";"      10";"      13"
"5";"T001395";"2015JJ00";"   28210";"      38";"      21";"      17";"       7";"       5";"       3";"       9";"     184";"      62";"      24";"      67";"      13";"       1";"       0";"       3";"       7";"       0";"       3";"       4";"      41";"      26";"      13";"       7";"   12020";"    3660";"      62";"       8";"      20";"      10";"      84";"    2142";"      25";"      26";"      32";"      16";"    1233";"      51";"      10";"      11";"      24";"       4";"    1194";"      12";"       8";"      22";"       7";"      13";"       7";"       8";"       9";"      15"
"6";"T001395";"2018JJ00";"   26510";"      37";"      20";"      17";"       8";"       5";"       3";"       9";"     192";"      62";"      25";"      66";"      12";"       1";"       0";"       3";"       7";"       0";"       2";"       3";"      41";"      26";"      13";"       9";"   10680";"    3410";"      72";"       6";"      15";"       7";"      83";"    2106";"      23";"      29";"      34";"      15";"    1210";"      53";"       8";"      11";"      23";"       5";"    1173";"      11";"      10";"      22";"       7";"      13";"       6";"       8";"       7";"      17"
"7";"T001395";"2020JJ00";"   26130";"      38";"      19";"      17";"       8";"       5";"       4";"       9";"     197";"      61";"      26";"      66";"      11";"       1";"       0";"       3";"       6";"       0";"       3";"       3";"      41";"      27";"      11";"       9";"   10160";"    3100";"      70";"       8";"      13";"      10";"      83";"    1869";"      23";"      32";"      32";"      13";"    1133";"      59";"      11";"      11";"      14";"       5";"    1077";"      12";"      11";"      24";"       7";"       8";"       8";"       9";"       4";"      17"
"8";"A045010";"2000JJ00";"    1090";"      45";"      28";"      17";"       6";"       2";"       0";"       1";"      92";"       .";"       4";"      91";"       6";"       1";"       0";"       5";"       0";"       0";"       0";"       2";"       .";"       .";"      16";"       .";"     420";"      70";"      72";"      23";"       4";"       1";"      90";"      31";"      22";"      35";"      35";"       8";"      17";"      70";"      11";"       2";"       6";"      11";"      16";"      15";"      10";"      30";"       5";"       4";"       4";"       2";"       7";"      24"
"9";"A045010";"2003JJ00";"    1150";"      49";"      25";"      16";"       5";"       3";"       1";"       1";"      91";"       .";"       4";"      92";"       5";"       1";"       0";"       4";"       0";"       0";"       0";"       1";"       .";"       .";"      15";"       .";"     390";"      80";"      82";"       9";"       8";"       1";"      85";"      31";"      21";"      40";"      33";"       6";"      18";"      82";"      10";"       2";"       5";"       2";"      17";"      13";"      11";"      31";"       4";"       3";"       4";"       3";"       9";"      22"
"10";"A045010";"2006JJ00";"    1190";"      48";"      31";"      14";"       2";"       2";"       2";"       2";"      92";"       .";"       7";"      90";"       5";"       2";"       0";"       3";"       0";"       0";"       0";"       0";"       .";"       .";"      15";"       .";"     400";"      70";"      85";"       7";"       9";"       0";"      78";"      32";"      20";"      35";"      38";"       8";"      19";"      79";"      11";"       2";"       4";"       3";"      18";"      17";"      14";"      30";"       3";"       3";"       5";"       3";"      10";"      15"
"11";"A045010";"2009JJ00";"    1260";"      47";"      29";"      16";"       4";"       1";"       1";"       2";"      85";"       .";"       7";"      92";"       2";"       1";"       0";"       1";"       0";"       0";"       0";"       0";"       .";"       .";"      16";"       .";"     470";"      80";"      85";"       7";"       8";"       0";"      83";"      32";"      23";"      40";"      33";"       4";"      20";"      80";"      12";"       1";"       3";"       3";"      19";"      19";"      17";"      33";"       2";"       2";"       3";"       3";"       8";"      12"
"12";"A045010";"2012JJ00";"    1350";"      52";"      26";"      15";"       5";"       0";"       1";"       1";"      77";"       .";"       5";"      94";"       2";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      14";"       .";"     460";"      80";"      89";"       7";"       3";"       0";"      82";"      34";"      24";"      39";"      33";"       4";"      20";"      81";"      11";"       2";"       3";"       2";"      20";"      20";"      13";"      35";"       3";"       2";"       3";"       3";"       9";"      13"
"13";"A045010";"2015JJ00";"    1320";"      47";"      36";"      12";"       4";"       0";"       0";"       1";"      71";"      42";"       4";"      95";"       5";"       3";"       0";"       2";"       0";"       0";"       0";"       1";"      14";"       8";"      14";"       6";"     280";"      50";"      96";"       1";"       2";"       0";"      82";"      42";"      25";"      35";"      34";"       6";"      18";"      79";"      11";"       2";"       4";"       3";"      16";"      10";"      18";"      36";"       4";"       2";"       4";"       3";"       7";"      15"
"14";"A045010";"2018JJ00";"    1290";"      52";"      29";"      12";"       4";"       1";"       0";"       1";"      85";"      44";"       5";"      92";"       3";"       1";"       0";"       2";"       0";"       0";"       0";"       1";"      13";"       5";"      11";"      11";"     280";"      60";"      86";"      10";"       4";"       0";"      80";"      29";"      15";"      46";"      33";"       6";"      20";"      81";"      10";"       3";"       2";"       4";"      19";"      15";"      17";"      36";"       3";"       1";"       2";"       2";"       6";"      16"
"15";"A045010";"2020JJ00";"    1325";"      58";"      24";"      10";"       4";"       2";"       1";"       1";"      77";"      41";"       5";"      90";"       6";"       3";"       0";"       3";"       0";"       0";"       0";"       1";"      10";"       6";"       9";"      11";"     260";"      70";"      73";"      20";"       8";"       0";"      81";"      31";"      19";"      43";"      31";"       6";"      19";"      79";"      13";"       2";"       2";"       4";"      18";"      13";"      21";"      36";"       3";"       2";"       4";"       2";"       4";"      16"
"16";"A045011";"2000JJ00";"    3170";"      30";"      22";"      27";"       9";"       4";"       2";"       5";"     156";"       .";"       1";"      95";"       6";"       6";"       0";"       0";"       0";"       0";"       0";"       1";"       .";"       .";"      24";"       .";"    2850";"     350";"      98";"       1";"       2";"       0";"      92";"     126";"      21";"      31";"      41";"       7";"      57";"      70";"      14";"       3";"       9";"       4";"      56";"      18";"      15";"      34";"       2";"       5";"       2";"       7";"       4";"      12"
"17";"A045011";"2003JJ00";"    3120";"      29";"      24";"      26";"       9";"       5";"       3";"       5";"     151";"       .";"       1";"      96";"       4";"       4";"       0";"       0";"       0";"       0";"       0";"       1";"       .";"       .";"      24";"       .";"    2500";"     310";"      97";"       2";"       1";"       0";"      91";"     106";"      22";"      28";"      46";"       5";"      62";"      72";"      15";"       3";"       7";"       2";"      60";"      16";"      17";"      34";"       1";"       4";"       2";"       8";"       5";"      12"
"18";"A045011";"2006JJ00";"    2940";"      34";"      23";"      25";"       8";"       4";"       2";"       5";"     139";"       .";"       1";"      97";"       4";"       3";"       0";"       1";"       0";"       0";"       0";"       1";"       .";"       .";"      19";"       .";"    2120";"     300";"      96";"       1";"       3";"       0";"      89";"      98";"      19";"      28";"      47";"       6";"      60";"      75";"      14";"       3";"       6";"       3";"      59";"      16";"      18";"      36";"       2";"       3";"       2";"       9";"       5";"      10"
"19";"A045011";"2009JJ00";"    2910";"      40";"      25";"      18";"      10";"       3";"       2";"       3";"     121";"       .";"       2";"      97";"       2";"       2";"       0";"       0";"       0";"       0";"       0";"       1";"       .";"       .";"      17";"       .";"    1680";"     240";"      97";"       1";"       2";"       0";"      88";"      98";"      20";"      31";"      45";"       5";"      58";"      76";"      12";"       3";"       5";"       3";"      56";"      15";"      19";"      36";"       2";"       3";"       1";"      10";"       5";"      10"
"20";"A045011";"2012JJ00";"    2900";"      38";"      25";"      21";"       9";"       3";"       1";"       3";"     123";"       .";"       1";"      96";"       4";"       4";"       0";"       0";"       0";"       0";"       0";"       2";"       .";"       .";"      14";"       .";"    1640";"     250";"      93";"       5";"       2";"       0";"      87";"      95";"      21";"      32";"      42";"       5";"      62";"      75";"      13";"       3";"       6";"       3";"      61";"      15";"      18";"      36";"       2";"       3";"       1";"       9";"       5";"      10"
"21";"A045011";"2015JJ00";"    2810";"      38";"      26";"      20";"       8";"       4";"       2";"       3";"     120";"      65";"       2";"      95";"       5";"       3";"       0";"       2";"       0";"       0";"       0";"       2";"      21";"       9";"      17";"      16";"    1690";"     280";"      93";"       4";"       2";"       0";"      92";"      90";"      18";"      32";"      43";"       7";"      57";"      77";"      11";"       3";"       7";"       2";"      55";"      19";"      19";"      34";"       1";"       3";"       2";"       8";"       4";"       9"
"22";"A045011";"2018JJ00";"    2660";"      40";"      26";"      18";"       8";"       3";"       2";"       3";"     118";"      65";"       2";"      92";"       7";"       2";"       0";"       4";"       0";"       0";"       0";"       1";"      18";"       7";"      16";"      19";"    1450";"     260";"      97";"       2";"       0";"       0";"      90";"      83";"      18";"      34";"      44";"       4";"      63";"      79";"       8";"       3";"       6";"       3";"      62";"      14";"      20";"      33";"       1";"       3";"       3";"      10";"       4";"      11"
"23";"A045011";"2020JJ00";"    2620";"      46";"      24";"      17";"       5";"       3";"       2";"       2";"     105";"      56";"       3";"      94";"       4";"       3";"       0";"       1";"       0";"       0";"       0";"       1";"      20";"       5";"      14";"      18";"    1610";"     290";"      93";"       6";"       1";"       0";"      85";"      69";"      16";"      43";"      38";"       3";"      57";"      80";"      11";"       3";"       3";"       3";"      54";"      18";"      20";"      32";"       1";"       2";"       3";"      11";"       2";"      12"
"24";"A045012";"2000JJ00";"    3370";"      45";"      19";"      22";"       8";"       5";"       0";"       0";"      99";"       .";"      17";"      82";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       .";"       .";"       7";"       .";"     760";"     170";"      48";"       1";"      11";"      40";"      84";"     157";"      21";"      33";"      40";"       6";"      51";"      57";"      18";"      12";"       9";"       4";"      50";"       4";"      13";"      36";"       2";"       5";"       2";"      16";"       9";"      13"
"25";"A045012";"2003JJ00";"    3020";"      48";"      17";"      23";"       7";"       4";"       0";"       2";"     104";"       .";"      20";"      79";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       5";"       .";"     410";"      80";"      54";"       1";"       6";"      39";"      82";"     125";"      21";"      35";"      40";"       4";"      51";"      57";"      15";"      16";"       9";"       2";"      50";"       4";"      14";"      36";"       2";"       5";"       2";"      17";"       8";"      12"
"26";"A045012";"2006JJ00";"    2880";"      47";"      18";"      19";"       9";"       4";"       2";"       1";"     107";"       .";"      20";"      80";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       5";"       .";"     420";"     130";"      48";"       4";"       7";"      41";"      85";"     145";"      20";"      37";"      38";"       6";"      57";"      58";"      13";"      18";"       7";"       3";"      56";"      10";"      13";"      35";"       2";"       4";"       2";"      16";"       9";"      10"
"27";"A045012";"2009JJ00";"    2740";"      44";"      18";"      21";"      11";"       4";"       1";"       1";"     108";"       .";"      17";"      83";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       3";"       .";"     270";"     100";"      44";"       3";"       3";"      50";"      82";"     155";"      26";"      38";"      33";"       3";"      59";"      60";"      12";"      17";"       8";"       2";"      60";"       9";"      14";"      33";"       1";"       5";"       1";"      17";"       9";"      11"
"28";"A045012";"2012JJ00";"    2720";"      42";"      20";"      22";"       9";"       4";"       1";"       1";"     108";"       .";"      12";"      88";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"     110";"      40";"      41";"       9";"       0";"      50";"      85";"     147";"      24";"      39";"      35";"       2";"      54";"      67";"      13";"      13";"       6";"       2";"      51";"       4";"      16";"      35";"       1";"       4";"       1";"      19";"       9";"      11"
"29";"A045012";"2015JJ00";"    2660";"      42";"      21";"      27";"       7";"       2";"       1";"       1";"      98";"      35";"       8";"      92";"       1";"       1";"       0";"       0";"       1";"       0";"       0";"       0";"      19";"       4";"       1";"       4";"     100";"      40";"      65";"       1";"       4";"      30";"      85";"     138";"      23";"      35";"      37";"       5";"      51";"      64";"      16";"      11";"       7";"       2";"      50";"       2";"      16";"      38";"       1";"       4";"       1";"      19";"       6";"      13"
"30";"A045012";"2018JJ00";"    2480";"      42";"      19";"      26";"       8";"       3";"       1";"       1";"     105";"      36";"      13";"      87";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"      17";"       4";"       2";"       3";"     120";"      20";"      90";"       0";"       0";"      10";"      81";"     135";"      15";"      44";"      37";"       3";"      57";"      69";"      11";"       9";"       8";"       3";"      55";"       1";"      16";"      41";"       1";"       4";"       1";"      18";"       6";"      11"
"31";"A045012";"2020JJ00";"    2390";"      41";"      22";"      22";"      10";"       3";"       2";"       1";"     105";"      37";"       9";"      91";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"      18";"       4";"       2";"       5";"     140";"      40";"      42";"       5";"       1";"      53";"      85";"     121";"      11";"      47";"      39";"       3";"      55";"      70";"      11";"      12";"       4";"       2";"      50";"       3";"      18";"      38";"       1";"       3";"       1";"      20";"       5";"      11"
"32";"A045013";"2000JJ00";"    1140";"      23";"      26";"      23";"       8";"       8";"       4";"       9";"     188";"       .";"       6";"      94";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       4";"       .";"     120";"      30";"     100";"       0";"       0";"       0";"      94";"      77";"      17";"      40";"      39";"       4";"      32";"      71";"      19";"       3";"       3";"       4";"      32";"       2";"       8";"      55";"       1";"       2";"       1";"       9";"       8";"      14"
"33";"A045013";"2003JJ00";"    1150";"      23";"      29";"      19";"      10";"       7";"       4";"       8";"     179";"       .";"       6";"      93";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"       .";"       .";"       3";"       .";"      70";"      20";"      89";"       0";"      11";"       0";"      94";"      84";"      22";"      43";"      30";"       5";"      33";"      73";"      19";"       3";"       3";"       2";"      32";"       1";"       7";"      55";"       2";"       2";"       1";"      11";"       9";"      13"
"34";"A045013";"2006JJ00";"    1170";"      29";"      23";"      23";"       7";"       5";"       4";"       8";"     176";"       .";"       8";"      91";"       1";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       2";"       .";"      50";"      10";"      86";"       0";"      14";"       0";"      95";"      85";"      21";"      46";"      30";"       4";"      37";"      74";"      19";"       3";"       3";"       2";"      36";"       1";"       7";"      54";"       3";"       2";"       1";"      12";"      10";"      10"
"35";"A045013";"2009JJ00";"    1260";"      25";"      30";"      22";"       8";"       3";"       5";"       8";"     167";"       .";"       6";"      94";"       1";"       0";"       0";"       1";"       0";"       0";"       0";"       0";"       .";"       .";"       4";"       .";"      80";"      20";"      87";"       0";"      13";"       0";"      87";"      88";"      23";"      43";"      30";"       3";"      39";"      76";"      16";"       2";"       4";"       3";"      38";"       1";"       8";"      54";"       2";"       3";"       1";"      11";"       9";"      11"
"36";"A045013";"2012JJ00";"    1230";"      28";"      26";"      20";"      10";"       4";"       6";"       6";"     166";"       .";"       6";"      93";"       1";"       0";"       0";"       1";"       0";"       0";"       0";"       0";"       .";"       .";"       3";"       .";"      70";"      20";"      94";"       0";"       6";"       0";"      91";"      87";"      23";"      44";"      30";"       3";"      44";"      73";"      17";"       3";"       3";"       3";"      43";"       2";"       8";"      57";"       2";"       2";"       1";"      11";"       8";"      10"
"37";"A045013";"2015JJ00";"    1170";"      35";"      29";"      18";"       6";"       5";"       2";"       5";"     144";"      64";"       9";"      90";"       2";"       0";"       0";"       2";"       0";"       0";"       0";"       0";"      25";"       9";"       3";"       3";"      60";"      10";"      90";"       0";"      10";"       0";"     100";"      83";"      20";"      45";"      32";"       3";"      35";"      80";"      13";"       1";"       4";"       2";"      34";"       2";"       7";"      54";"       2";"       3";"       2";"      11";"       5";"      15"
"38";"A045013";"2018JJ00";"    1115";"      30";"      24";"      22";"      12";"       4";"       3";"       4";"     150";"      71";"      11";"      88";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"      22";"       7";"       2";"       3";"      40";"      10";"      93";"       7";"       0";"       0";"      91";"      79";"      14";"      54";"      30";"       2";"      38";"      79";"      13";"       2";"       2";"       3";"      38";"       0";"       7";"      56";"       1";"       2";"       3";"      11";"       7";"      13"
"39";"A045013";"2020JJ00";"    1075";"      34";"      24";"      21";"       9";"       4";"       2";"       6";"     149";"      61";"      10";"      90";"       1";"       0";"       0";"       0";"       0";"       0";"       1";"       0";"      20";"       8";"       2";"       3";"      60";"      10";"      57";"      43";"       0";"       0";"      91";"      66";"      16";"      49";"      33";"       2";"      36";"      76";"      18";"       3";"       1";"       1";"      33";"       1";"       9";"      58";"       1";"       1";"       1";"      14";"       4";"      11"
"40";"A045014";"2000JJ00";"    3750";"      58";"      24";"      13";"       3";"       1";"       0";"       0";"      66";"       .";"      27";"      66";"       8";"       0";"       0";"       8";"       0";"       0";"       0";"       1";"       .";"       .";"       1";"       .";"      50";"      20";"      98";"       0";"       2";"       0";"      78";"      73";"      13";"      12";"      64";"      10";"      28";"      57";"      15";"       4";"      15";"       9";"      26";"       2";"       2";"      32";"       4";"       9";"       6";"      12";"      12";"      21"
"41";"A045014";"2003JJ00";"    4240";"      57";"      23";"      16";"       2";"       1";"       0";"       1";"      76";"       .";"      29";"      66";"       6";"       0";"       0";"       5";"       0";"       0";"       0";"       1";"       .";"       .";"       1";"       .";"     170";"      30";"      71";"      21";"       8";"       0";"      77";"      74";"      14";"      13";"      60";"      12";"      34";"      63";"      11";"       4";"      17";"       5";"      32";"       2";"       4";"      30";"       4";"      11";"       4";"      13";"      12";"      21"
"42";"A045014";"2006JJ00";"    4880";"      53";"      24";"      16";"       4";"       1";"       1";"       1";"      82";"       .";"      30";"      65";"       6";"       0";"       0";"       6";"       0";"       0";"       0";"       1";"       .";"       .";"       3";"       .";"     440";"      80";"      69";"      18";"      14";"       0";"      76";"      94";"      15";"      16";"      55";"      14";"      49";"      58";"      17";"       3";"      16";"       7";"      46";"       7";"       8";"      28";"       3";"       9";"       4";"      13";"      12";"      17"
"43";"A045014";"2009JJ00";"    4910";"      54";"      26";"      15";"       3";"       1";"       1";"       1";"      79";"       .";"      28";"      69";"       2";"       0";"       0";"       2";"       0";"       0";"       0";"       2";"       .";"       .";"       3";"       .";"     300";"      60";"      79";"      11";"      10";"       0";"      72";"      96";"      20";"      19";"      52";"      10";"      48";"      63";"      11";"       3";"      16";"       7";"      45";"       6";"      10";"      31";"       3";"       9";"       2";"      14";"      11";"      14"
"44";"A045014";"2012JJ00";"    4810";"      56";"      25";"      14";"       3";"       1";"       1";"       1";"      71";"       .";"      29";"      69";"       3";"       0";"       0";"       3";"       0";"       0";"       0";"       1";"       .";"       .";"       1";"       .";"     150";"      40";"      66";"      20";"      11";"       3";"      75";"      93";"      19";"      18";"      53";"      11";"      43";"      65";"      11";"       3";"      16";"       6";"      41";"       4";"       9";"      32";"       3";"       9";"       3";"      13";"      13";"      15"
"45";"A045014";"2015JJ00";"    5010";"      59";"      26";"      11";"       1";"       1";"       0";"       1";"      67";"       7";"      30";"      64";"       6";"       0";"       0";"       5";"       0";"       0";"       0";"       3";"      26";"       6";"       1";"       1";"     260";"      30";"      84";"      10";"       5";"       0";"      77";"      86";"      14";"      15";"      60";"      11";"      36";"      65";"      11";"       2";"      17";"       5";"      35";"       3";"       7";"      30";"       6";"      11";"       4";"      12";"       8";"      19"
"46";"A045014";"2018JJ00";"    4835";"      62";"      23";"      11";"       3";"       1";"       0";"       1";"      66";"       6";"      33";"      62";"       6";"       0";"       0";"       5";"       0";"       0";"       1";"       1";"      23";"       7";"       1";"       2";"     190";"      50";"      73";"       6";"      20";"       0";"      78";"      88";"      13";"      20";"      56";"      11";"      35";"      66";"       7";"       3";"      17";"       6";"      34";"       5";"       7";"      31";"       4";"       9";"       5";"      13";"       7";"      19"
"47";"A045014";"2020JJ00";"    4825";"      63";"      23";"      10";"       2";"       1";"       0";"       1";"      64";"       6";"      32";"      64";"       5";"       0";"       0";"       5";"       0";"       0";"       0";"       1";"      29";"       7";"       1";"       2";"     170";"      30";"      91";"       2";"       8";"       0";"      77";"      75";"      14";"      15";"      60";"      10";"      34";"      66";"      10";"       4";"      14";"       5";"      32";"       3";"       8";"      31";"       5";"       8";"       7";"      16";"       5";"      17"
"48";"A045015";"2000JJ00";"     240";"       8";"      10";"      21";"      12";"      18";"      11";"      19";"     354";"       .";"       4";"      93";"      10";"       2";"       0";"       4";"       5";"       0";"       0";"       1";"       .";"       .";"      12";"       .";"     100";"      20";"      46";"      13";"      41";"       0";"     100";"      38";"      15";"      34";"      39";"      12";"      11";"      59";"      15";"       5";"      14";"       6";"      11";"       2";"      22";"      21";"       5";"       8";"       6";"      12";"       9";"      16"
"49";"A045015";"2003JJ00";"     220";"       7";"       5";"      14";"      21";"      17";"      10";"      27";"     388";"       .";"       1";"      92";"      13";"       2";"       0";"       1";"      10";"       0";"       0";"       2";"       .";"       .";"      17";"       .";"      80";"      20";"      33";"      15";"      52";"       0";"      99";"      30";"      14";"      33";"      38";"      16";"      13";"      60";"      14";"       6";"      16";"       4";"      13";"       6";"      16";"      19";"       5";"       9";"       8";"      11";"       8";"      18"
"50";"A045015";"2006JJ00";"     220";"       7";"       4";"      10";"      24";"      10";"      19";"      25";"     436";"       .";"       1";"      92";"      13";"       1";"       0";"       0";"      12";"       0";"       0";"       2";"       .";"       .";"      13";"       .";"      90";"      30";"      43";"      12";"      44";"       0";"      96";"      34";"      14";"      37";"      33";"      16";"      16";"      63";"      14";"       4";"      14";"       5";"      15";"       5";"      18";"      21";"       7";"       8";"       7";"      12";"       8";"      14"
"51";"A045015";"2009JJ00";"     260";"       8";"       8";"      11";"      18";"       8";"      17";"      30";"     415";"       .";"       6";"      87";"       8";"       1";"       0";"       0";"       7";"       0";"       0";"       4";"       .";"       .";"       9";"       .";"      60";"      20";"      50";"      11";"      38";"       0";"      94";"      38";"      14";"      43";"      34";"       8";"      19";"      66";"      14";"       5";"       9";"       6";"      18";"       3";"      22";"      19";"       5";"       5";"       7";"      13";"      10";"      15"
"52";"A045015";"2012JJ00";"     280";"      12";"       7";"      11";"      13";"      10";"      13";"      33";"     427";"       .";"      10";"      82";"      10";"       2";"       0";"       2";"       7";"       0";"       0";"       5";"       .";"       .";"       9";"       .";"      70";"      30";"      67";"      18";"      15";"       0";"      91";"      40";"      15";"      41";"      32";"      11";"      22";"      70";"      10";"       5";"       9";"       6";"      21";"       5";"      21";"      19";"       7";"       7";"       5";"      12";"      10";"      15"
"53";"A045015";"2015JJ00";"     295";"       6";"      12";"      12";"      14";"      19";"       4";"      33";"     417";"     113";"      12";"      84";"      18";"       4";"       0";"       3";"      14";"       0";"       1";"       5";"      70";"      52";"      11";"       8";"     110";"      40";"      81";"      11";"       8";"       0";"      99";"      41";"      15";"      47";"      24";"      14";"      21";"      67";"      12";"       6";"      10";"       5";"      20";"       5";"      19";"      23";"       6";"       6";"       8";"      11";"       6";"      16"
"54";"A045015";"2018JJ00";"     305";"       7";"      12";"      19";"      11";"      14";"      11";"      27";"     380";"     100";"      22";"      74";"      13";"       1";"       0";"       4";"       8";"       0";"       1";"       5";"      61";"      45";"      13";"      11";"      80";"      20";"      73";"      16";"      10";"       0";"      97";"      39";"      10";"      50";"      27";"      13";"      23";"      62";"      16";"       6";"       9";"       7";"      22";"       3";"      21";"      20";"       5";"       5";"       9";"      11";"      10";"      15"
"55";"A045015";"2020JJ00";"     315";"       7";"      13";"      18";"      11";"      16";"      15";"      21";"     369";"     110";"      19";"      77";"      11";"       3";"       0";"       2";"       8";"       0";"       0";"       5";"      75";"      56";"      10";"      13";"      80";"      20";"      73";"       8";"       8";"       1";"      97";"      40";"      10";"      52";"      26";"      12";"      21";"      77";"      11";"       4";"       3";"       4";"      20";"       4";"      22";"      23";"       6";"       2";"       9";"      13";"       4";"      15"
