"ID";"SportsClubs";"Periods";"TotalNumberOfSportsClubs_1";"LessThan51Members_2";"k_51To100Members_3";"k_101To200Members_4";"k_201To300Members_5";"k_301To400Members_6";"k_401To500Members_7";"MoreThan500Members_8";"AverageNumberOfMembers_9";"AverageNumberOfMembersUnder18Years_10";"SportsClubsWithoutSportsFacility_11";"SportsClubsWithRentedSportsFacility_12";"SportsClubsWithAccommodationOwned_13";"SportHallOrGymnasium_14";"IndoorTennisCourt_15";"OtherIndoorSportsFacility_16";"PitchFieldOrTrack_17";"GolfCourse_18";"OtherOutdoorSportsFacility_19";"OwnershipInDifferentLegalForm_20";"SportsClubsWithClubHouse_21";"SportsClubsWithClubHouseOwned_22";"Employees_23";"EmployedPersonsNotOnPayroll_24";"Employees_25";"Employees_26";"TrainingInstructionMedicalCare_27";"ManagementCommitteesAdministration_28";"MaintenanceCleaningCanteen_29";"OtherWork_30";"SportsClubsWithVolunteers_31";"TotalWorkingHoursVolunteers_32";"SupervisionOfYouthMembers_33";"TrainingCoachingMedicalCare_34";"ManagementCommitteesAdministration_35";"MaintenanceCleaningCanteen_36";"TotalRevenues_37";"MembershipAndTuitionFees_38";"GrantsAndContributions_39";"SponsorshipAndAdvertising_40";"CanteenProceeds_41";"OtherRevenues_42";"TotalCosts_43";"WagesAndSocialCharges_44";"StaffNotOnPayroll_45";"HousingCosts_46";"MaintenanceAndCleaning_47";"CostsOfCanteenPurchases_48";"InterestAndDepreciations_49";"PaymentsToSportsFederations_50";"CostsOfMatchesAndTravelling_51";"OtherCosts_52"
"76";"A045018";"2012JJ00";"    1690";"      53";"      26";"      12";"       5";"       1";"       1";"       2";"      77";"       .";"      39";"      53";"      11";"       0";"       0";"       8";"       0";"       0";"       7";"       3";"       .";"       .";"       8";"       .";"     520";"     140";"      88";"       4";"       8";"       0";"      80";"      63";"      25";"      12";"      41";"      21";"      39";"      62";"      15";"       6";"      10";"       7";"      38";"      16";"      13";"      17";"       7";"       6";"       5";"       7";"      10";"      19"
"77";"A045018";"2015JJ00";"    1650";"      58";"      28";"      11";"       1";"       1";"       1";"       0";"      63";"      19";"      29";"      60";"      15";"       0";"       0";"      14";"       0";"       0";"      10";"       8";"      39";"      25";"       6";"      16";"     300";"      80";"      92";"       5";"       3";"       0";"      86";"      54";"      17";"      17";"      50";"      17";"      38";"      60";"      21";"       5";"       7";"       6";"      36";"      18";"      13";"      19";"       7";"       4";"       7";"       5";"       9";"      18"
"78";"A045018";"2018JJ00";"    1495";"      54";"      31";"      11";"       3";"       1";"       0";"       0";"      62";"      18";"      31";"      59";"      12";"       0";"       0";"      10";"       1";"       0";"       7";"       5";"      38";"      23";"       7";"      19";"     280";"     100";"      92";"       3";"       1";"       4";"      83";"      39";"      15";"      14";"      49";"      22";"      33";"      61";"      18";"       7";"       8";"       7";"      31";"      12";"      11";"      15";"       6";"       6";"       6";"       3";"       9";"      31"
"79";"A045018";"2020JJ00";"    1435";"      50";"      30";"      13";"       3";"       2";"       1";"       0";"      76";"      20";"      37";"      53";"      12";"       0";"       0";"      11";"       0";"       0";"       9";"       4";"      36";"      25";"       5";"      17";"     200";"      70";"      81";"       9";"       9";"       0";"      79";"      33";"      22";"      19";"      49";"      10";"      32";"      69";"      19";"       5";"       4";"       3";"      28";"       7";"      15";"      17";"       8";"       3";"       7";"       8";"       8";"      27"
"80";"A045019";"2000JJ00";"    1800";"       2";"       7";"      21";"      19";"       8";"      12";"      30";"     404";"       .";"       0";"      57";"      50";"       0";"       2";"       1";"      49";"       0";"       0";"      12";"       .";"       .";"      30";"       .";"    1080";"     490";"      56";"       1";"      42";"       1";"      97";"     157";"      11";"       7";"      55";"      27";"     122";"      60";"       5";"       5";"      23";"       7";"     117";"      14";"       6";"      21";"      10";"      13";"      11";"       6";"       4";"      15"
"81";"A045019";"2003JJ00";"    1810";"       5";"       7";"      18";"      17";"      12";"      11";"      31";"     424";"       .";"       0";"      57";"      55";"       0";"       4";"       0";"      54";"       0";"       0";"       9";"       .";"       .";"      28";"       .";"    1200";"     530";"      49";"       2";"      48";"       1";"      96";"     148";"      12";"       6";"      55";"      27";"     148";"      58";"       7";"       5";"      25";"       5";"     142";"      13";"       6";"      20";"      11";"      15";"      12";"       6";"       5";"      13"
"82";"A045019";"2006JJ00";"    1840";"       3";"       9";"      23";"      16";"      11";"       9";"      29";"     402";"       .";"       1";"      59";"      51";"       1";"       2";"       1";"      51";"       0";"       0";"       4";"       .";"       .";"      23";"       .";"     970";"     450";"      55";"       2";"      43";"       0";"      96";"     148";"      14";"       5";"      49";"      31";"     156";"      59";"       6";"       5";"      24";"       5";"     148";"      11";"       8";"      21";"      11";"      14";"      11";"       7";"       7";"      11"
"83";"A045019";"2009JJ00";"    1840";"       2";"       7";"      21";"      17";"      17";"       8";"      30";"     404";"       .";"       1";"      68";"      34";"       0";"       1";"       1";"      34";"       0";"       0";"       9";"       .";"       .";"      19";"       .";"     750";"     360";"      51";"       4";"      45";"       0";"      95";"     150";"      18";"       6";"      49";"      27";"     164";"      57";"       6";"       5";"      27";"       5";"     155";"       9";"       7";"      21";"      11";"      16";"      11";"       7";"       5";"      12"
"84";"A045019";"2012JJ00";"    1750";"       3";"      11";"      21";"      14";"      14";"      10";"      26";"     377";"       .";"       0";"      62";"      43";"       0";"       4";"       0";"      42";"       0";"       0";"       9";"       .";"       .";"      18";"       .";"     680";"     320";"      49";"       3";"      48";"       0";"      95";"     150";"      16";"       5";"      50";"      29";"     161";"      57";"       5";"       5";"      26";"       7";"     152";"       9";"       7";"      23";"       9";"      16";"      12";"       7";"       4";"      12"
"85";"A045019";"2015JJ00";"    1745";"       8";"      17";"      23";"      16";"      10";"       6";"      20";"     305";"      61";"       1";"      55";"      54";"       0";"       4";"       0";"      54";"       0";"       1";"      15";"      88";"      73";"      16";"      21";"     650";"     270";"      50";"       4";"      43";"       3";"      98";"     146";"      15";"       5";"      50";"      31";"     141";"      56";"       7";"       6";"      26";"       5";"     134";"       9";"       6";"      22";"      10";"      14";"      14";"       7";"       5";"      15"
